protein	Training_1	Training_2	Training_3	Training_4	Training_5	Training_6	Training_7	Training_8	Training_9	Training_10	Training_11	Training_12	Training_13	Training_14	Training_15	Training_16	Training_17	Training_18	Training_19	Training_20	Training_21	Training_22	Training_23	Training_24	Training_25	Training_26	Training_27	Training_28	Training_29	Training_30	Training_31	Training_32	Training_33	Training_34	Training_35	Training_36	Training_37	Training_38	Training_39	Training_40	Training_41	Training_42	Training_43	Training_44	Training_45	Training_46	Training_47	Training_48	Training_49	Training_50	Training_51	Training_52	Training_53	Training_54	Training_55	Training_56	Training_57	Training_58	Training_59	Training_60	Training_61	Training_62	Training_63	Training_64	Training_65	Training_66	Training_67	Training_68	Training_69	Training_70	Training_71	Training_72	Training_73	Training_74	Training_75	Training_76	Training_77	Training_78	Training_79	Training_80
AATF	2.127685202	2.531585772	2.202843812	NA	2.176255882	1.53689595	NA	1.087395906	1.549669487	1.463148411	1.80600958	NA	1.723776108	1.059880363	1.710366283	1.586725854	1.806513722	1.776675001	1.515674022	1.064494034	1.197907773	1.059880363	1.000239248	NA	1.650056835	1.549333803	NA	NA	2.14005018	1.247863694	1.640366206	1.640366206	1.624623855	1.586921882	1.753773015	1.527100824	NA	1.648205661	1.063136442	1.064494034	1.974982185	1.977979984	3.406190562	1.087395906	NA	1.875689716	2.057341723	1.555051006	1.614149563	NA	1.558080514	1.651986011	1.778419578	2.048552949	1.057100292	1.995780128	1.428883364	1.064022196	1.05467315	1.520291681	1.838364466	1.957936586	NA	1.0792746	1.650232645	0.963718608	2.857358004	2.616081545	1.038928411	1.932638886	1.150855704	1.514904758	1.415227057	NA	1.069096548	1.855706788	1.150772496	1.087395906	3.080674021	1.765525671
ABAT	1.123337231	4.954608183	2.133074896	1.142145895	1.025448319	NA	NA	1.749969189	3.098478098	2.933996617	2.743629315	NA	NA	1.465174612	1.333793874	3.443095293	0.912577784	2.226747789	0.92669541	1.114874457	NA	1.991495949	NA	NA	NA	3.484130416	2.091823549	NA	NA	3.068456354	2.479723413	2.235075149	2.365490037	4.319134965	2.094826049	2.236602768	NA	NA	1.113624252	NA	NA	2.639921687	NA	1.135942651	NA	0.92669541	0.912577784	2.579395512	NA	NA	0.912577784	2.109707165	NA	2.083025755	3.69254203	2.025868513	0.923179614	NA	2.874517979	NA	1.391472976	1.984903543	NA	NA	NA	NA	NA	NA	1.72332638	1.55155191	3.319072129	1.507356606	NA	NA	1.119111804	2.555290881	NA	NA	1.346590934	1.746624367
ABCB7	NA	1.90747952	1.937006374	NA	1.15537311	1.367807256	0.976385684	NA	2.005507205	3.636249454	1.034385897	NA	1.122879326	1.725982663	1.481558887	2.310783236	1.297987697	NA	1.663712071	2.18143545	NA	1.79917322	1.086757058	2.789528088	1.813465186	2.123649784	1.090467116	1.035141411	NA	1.767573653	1.802677598	1.802677598	1.442490933	3.628876813	1.928807224	2.038226139	NA	0.973877645	1.824158306	2.387527554	2.059554959	1.720666433	1.020048324	1.593922384	NA	NA	1.034385897	2.375623949	1.835479502	1.108651711	1.108651711	1.105034438	NA	2.255459755	1.150534234	1.857865891	1.566820133	NA	1.147812107	NA	2.577041699	1.383909471	1.897013286	1.596292696	NA	1.572060102	NA	3.095700931	1.130153202	2.127220593	NA	1.057100691	1.694117341	1.720086558	0.969968119	NA	2.111602507	1.603483055	1.494977279	NA
ABCC1	1.122819895	1.128495079	NA	1.148190094	1.028057264	1.105727941	NA	NA	2.329303919	1.390573293	2.46387844	NA	NA	3.06240884	NA	0.930065767	2.315045122	NA	2.311447409	1.822832722	NA	1.105727941	1.523327299	NA	1.93462934	1.468061157	0.975535637	NA	1.021943866	1.76118759	NA	1.8235531	NA	1.769716796	1.310983266	1.105727941	NA	1.122819895	NA	NA	1.105727941	1.853047965	NA	NA	1.233476754	2.47114523	1.448212435	3.200953036	1.113795011	0.990260686	0.990260686	1.938558645	NA	2.132990372	1.024144961	1.268994416	1.359748602	NA	2.331099335	1.105727941	1.105727941	1.212431156	1.120467958	NA	1.558718619	2.235288078	1.866212647	1.675198234	1.007661075	1.474138679	NA	1.780063315	NA	0.951533477	NA	1.139812279	NA	NA	1.637232116	2.571234829
ABCC3	NA	NA	2.789409736	NA	NA	2.609061266	NA	1.600431442	NA	2.10782471	1.936665304	2.09701155	2.67912175	2.372921597	2.805820189	1.030335189	2.840021922	2.33038583	2.394693483	2.26546716	NA	NA	2.183034436	3.569684035	1.097940116	NA	1.084009121	NA	NA	1.345316576	3.650047357	4.14979595	NA	1.433170313	2.467340627	2.586214873	1.888902433	NA	0.957419366	1.473703964	2.693753672	2.727275008	2.25049374	2.048595426	NA	2.330170045	1.920395779	NA	3.214600903	NA	2.773311839	3.370576627	NA	2.4436692	NA	1.814298271	1.537915248	2.336664725	1.138824961	1.372264481	2.693328726	1.761916726	0.965222115	2.069806393	1.772342143	NA	NA	1.365287645	1.121951682	2.069872805	2.543442501	1.05208335	NA	2.908828187	2.815811278	0.979300571	NA	1.641031195	1.469618481	2.594496418
ABCD1	NA	1.164223532	1.164223532	NA	NA	1.570033478	1.720386246	1.172472244	0.880631592	1.7242689	1.086338616	NA	NA	1.147578938	1.307428597	1.171425836	0.880631592	NA	NA	NA	1.271682834	1.147578938	NA	NA	NA	NA	NA	1.224936863	0.987259386	NA	NA	NA	1.147578938	1.99994457	NA	1.147578938	NA	1.160080891	NA	2.582381986	NA	NA	NA	1.172472244	NA	NA	NA	NA	1.153484442	NA	NA	NA	NA	NA	NA	NA	0.891296576	0.997177522	NA	1.147578938	1.147578938	0.880631592	1.675199814	NA	NA	0.891296576	NA	1.54893204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.88203109	1.164223532
ABCD3	3.447664048	1.850178211	2.975770608	2.192559617	3.477841988	3.120436844	2.11725271	2.607522671	3.430112285	2.961706708	3.294781422	1.324379602	1.175464827	2.778664348	3.62063432	3.248143025	3.545880904	NA	2.495207387	2.657256679	2.242936178	2.982495506	2.635465544	2.328088021	2.623803789	2.973670614	3.57133737	2.910329502	3.217324953	2.93499083	3.179523836	3.784660073	3.239493652	3.263949876	3.491759032	3.217333779	3.355892921	2.949164163	3.047081935	4.270919871	3.377542544	1.765434284	2.974804269	3.587830141	2.236298338	3.125682061	2.860291361	3.013763389	3.303842096	1.88948165	4.06235171	3.326879678	1.995704486	2.545284572	1.203000147	2.921938257	2.029447429	3.278733443	3.063262011	3.475986555	2.329142189	2.727540738	3.30331563	3.643181141	2.921938257	3.078606132	1.333099575	3.415395696	2.36412672	2.790418497	2.647229532	3.51773391	3.633376204	3.867236856	2.488213964	1.977783199	4.40864634	1.938686178	3.916799787	3.962455649
ABCE1	4.35441708	4.472277841	4.105296438	4.208789248	3.77959852	4.689794397	3.799663192	3.460328848	4.290259959	4.107251091	4.443145575	3.529192192	3.080573233	3.83043797	4.110672897	4.300966793	4.073639844	4.038743816	4.370634688	4.244727768	3.061556056	3.47565726	3.474948649	3.278345897	3.632353655	4.046335497	3.555287976	2.924547094	2.717212115	4.049830355	4.869637969	4.713549486	4.823812489	3.988292284	4.106238426	4.00048036	4.004736157	4.398904571	4.366445184	4.121471652	3.833090759	4.192432819	4.532318261	3.602818576	4.096756527	4.000121048	4.216229467	4.360544421	4.076310466	3.609934145	4.199351703	3.752779297	3.507228272	4.316552206	2.74848894	4.229726659	3.95339843	3.896283681	3.799162641	4.341338498	4.933404268	4.246049489	4.517794581	4.13836489	3.982746899	3.905734004	3.441622395	4.60398023	4.003776785	4.751521673	3.704043432	4.072697312	3.930628383	4.064334235	4.005974083	4.32084038	4.01458347	3.733496912	4.818644691	4.419345857
ABCF1	3.118046548	2.318826272	2.537285342	3.02890846	3.34495052	3.676147649	1.999253848	1.749231902	2.419051921	3.791138722	3.192831241	2.745072492	2.019572799	3.137744144	2.565350591	3.312651998	3.196040041	2.507800271	2.830016891	2.552955315	2.457012943	3.527593694	2.983375653	1.499614557	2.388846371	2.827224772	3.776892603	2.596539546	3.06154159	2.829614633	1.929291853	2.515910095	2.231245566	2.229552278	2.89044363	2.861456812	3.048849253	2.462456095	2.441408032	3.769045992	3.854937261	2.629603157	3.553975545	3.222005504	2.67202079	2.801525945	3.370615424	2.921386068	2.434529725	2.743130272	3.21629817	1.941895143	2.544953637	3.705613711	1.283429831	3.465719912	2.743683414	1.29127408	2.852815711	2.641855351	3.496725473	3.199037622	3.375840974	3.052738601	3.204572856	2.967857633	1.415234399	3.470066833	2.785611923	3.105767196	2.228490106	3.233947103	3.85882815	2.595004634	3.249794144	2.199217082	2.738440988	2.450253325	2.876692561	2.581548
ABCF2	1.038028341	NA	1.041727182	1.9424625	1.103880968	2.036064991	1.040407279	1.049093402	1.688586447	1.143263512	2.328749161	NA	1.069654663	1.734052368	NA	1.300709104	1.254988555	NA	2.526171938	1.857393036	NA	1.431671248	NA	1.070944765	1.809823436	1.688181337	NA	NA	1.095909592	1.760030706	1.798113573	1.349074602	NA	1.026868142	0.976878288	1.398379182	NA	1.038028341	1.029501273	1.480005666	2.28540365	NA	1.743240837	1.049093402	NA	0.992751408	1.979707233	2.899200936	1.032139394	1.054694465	1.698737768	NA	1.108342676	1.909191256	NA	1.421838451	1.542992048	NA	1.095909592	2.233820951	1.88348353	1.798113573	2.212246825	1.982975848	1.81003589	2.403748184	NA	1.026868142	NA	2.548516494	NA	1.64664431	1.310314619	NA	1.034318929	NA	1.209896217	1.049093402	1.91571384	1.585002825
ABCF3	1.960644422	1.585008171	1.004300545	1.018703862	2.937898382	2.629390541	1.579093349	1.01257972	1.642973193	2.087006288	1.214870929	NA	NA	1.341969276	1.007467919	2.637970549	1.915377691	1.124697669	1.021942368	1.949237101	NA	2.215332132	2.162708302	2.487785412	2.1926432	2.045408864	2.179840255	NA	NA	1.705811315	2.212291448	2.923713901	1.956735229	1.877392209	1.007467919	1.832582673	1.093249443	2.237059292	2.223388274	2.510500019	2.455502502	1.661113226	NA	1.662749011	1.080839436	1.582310359	1.898488339	1.852650439	1.921108372	1.078240929	2.447160959	1.0747945	1.885625205	2.425252454	NA	2.797442558	1.018339256	2.667566954	1.115547862	2.394378793	1.980009561	1.739267156	2.675406788	2.453785269	2.544860936	1.519550481	1.242946467	1.819352016	1.098725602	2.911630346	NA	2.010826288	1.31018715	2.075553622	1.51611827	1.01257972	1.218171079	2.089190962	2.452080877	2.615044544
ABHD10	3.174521634	3.709617451	3.086105244	2.443459988	2.610742636	2.67128464	2.886042032	3.704214393	3.021401461	3.344479643	2.786673785	1.902696449	2.605546292	3.17326753	3.314995895	3.749064606	2.333023651	2.181461662	3.122945003	3.150128865	3.293674111	3.23896587	3.463388458	NA	2.411745578	3.070621655	2.025169034	1.339814039	2.54092248	3.461216016	3.597378154	2.924144797	2.569746638	3.885624639	2.644326342	2.653049238	2.087201213	3.064573454	3.143742919	3.067267682	2.288290561	3.193743375	3.246669747	3.074348882	2.479983529	3.429748258	2.695319077	2.318369276	2.733026551	2.770873601	3.726824616	3.026216741	2.628623497	3.207829516	2.578519538	2.982136569	3.229654557	3.440251982	2.598304354	2.897528507	2.738429375	2.785522287	2.708536536	2.744539762	2.769741505	2.959643429	2.565312274	3.354600969	3.099194632	2.909347655	3.17005869	3.068260746	2.449004656	2.602969885	2.325163857	3.263352698	2.459030159	2.745568097	2.627496687	3.291652387
ABHD11	3.772442724	4.505986456	4.364739218	3.011153217	1.562057675	2.531252995	2.70280486	3.849573725	3.657199166	3.766640935	1.666781531	3.063164225	3.176471548	2.98734422	1.428483859	3.865381888	3.671886104	2.388334653	4.336756723	4.560236135	2.454372525	3.586679809	3.695373984	3.323369776	3.270697121	3.875021193	3.747741861	3.935788237	2.781756674	3.752676992	3.769551474	3.268167796	2.81238231	4.384517099	1.934783344	3.460134719	2.978434368	3.479142306	3.743207645	3.687971315	2.661406692	2.607875032	3.277426277	3.292767172	1.942278849	3.119480052	3.683120401	3.225550942	3.542973394	1.510837208	4.486672078	3.996751617	2.390256231	3.503832859	3.702368682	3.309503215	4.091407905	3.996325415	3.446950876	3.889871358	3.098646036	3.119480052	3.163887893	3.509405626	3.059562969	2.42907571	3.143661455	3.813401766	3.103613434	3.421638094	3.629061969	4.509621842	3.481940409	3.946182426	3.831502713	3.534661005	3.885853985	3.886219483	2.96700138	3.056188652
ABHD12	2.656567762	3.10973838	2.161713802	2.472347518	3.06308633	NA	2.112953065	NA	3.452407442	3.043926422	2.092938806	1.12650691	2.186779495	2.226418199	2.489315032	1.568690047	2.10074719	2.804667794	2.530521318	2.927907215	NA	2.342393475	1.594231615	NA	1.635813506	1.529112686	2.688294069	1.968868818	1.723091236	2.356319818	3.3892544	2.461693456	2.398156102	1.606474697	2.592591135	2.267047556	3.157245454	2.067212659	1.123884914	3.479472088	1.538821656	1.984846201	1.184461759	2.557847347	NA	1.875745482	1.785096416	1.577478374	NA	1.668199482	1.985047955	0.971319633	1.772175259	2.060212833	1.759131639	2.697820237	2.694585085	1.020429235	2.553924831	2.248861355	1.406756588	3.370101843	1.671215814	1.139001976	2.109430677	2.439815738	3.243352848	2.255989017	1.705575213	3.038084377	2.420401556	1.898150698	1.44980665	1.546987822	2.332645739	3.860340586	1.921425769	3.242979717	2.345281669	3.141655082
ABHD14B	3.017769202	2.383159269	3.171234971	2.511654937	NA	2.523023519	2.729088863	3.015433762	2.895659891	2.522773743	2.040823074	3.328441818	3.617116027	2.314889442	3.22727732	3.418182019	3.730866291	3.062067596	2.023980594	4.043885833	2.094866434	3.031753143	2.599830352	1.856899167	2.630202723	3.069511915	NA	3.142033233	2.706230233	2.680683036	4.057920474	3.358389239	1.873069328	3.115714132	2.288830785	2.964643978	2.43414368	2.897338568	3.10597158	2.915059381	2.943147065	3.149014809	3.057658742	3.532142728	1.76567724	2.422031055	2.037019713	2.146609538	2.44870294	2.662077151	2.313966987	3.923605423	2.315879518	2.265164967	3.37670154	1.810064365	2.349975397	3.105798243	2.753918078	2.812020736	2.431351389	3.043880765	2.042387947	3.226745872	3.234155965	2.983936438	NA	3.63163569	2.685081144	3.346523059	1.602752851	2.023113568	3.216236329	3.528668103	2.373188608	2.927218511	1.60265417	3.610954935	3.320617701	3.062073086
ABHD16A	2.275740653	3.438002621	2.337006861	2.913866206	NA	3.090465627	2.25693133	1.645118717	2.472358852	2.692606616	2.211407766	1.21587499	NA	1.809423425	2.613867232	1.949855625	2.659909217	2.322353571	2.033684729	1.948386513	1.142999896	4.162695843	2.16923333	2.154167081	2.200113032	2.392700978	2.186905442	1.096829404	1.094622853	1.989722853	1.733066222	2.585897634	1.518277661	1.485205433	1.856782785	3.068241455	2.740417215	2.885934687	2.210183878	3.447089346	1.825403337	2.447981894	NA	3.073385712	1.111836889	1.571816347	2.187633521	1.457240586	2.669710299	3.05182107	2.626001362	1.745744122	1.106050191	2.440198739	1.870289269	2.120587264	1.502310755	2.690486823	1.094622853	2.110648667	2.230707438	2.626001362	2.879776156	1.676422649	1.04967843	3.356517546	2.117164093	2.388333462	1.815332068	1.017655679	2.544066028	2.369350609	4.147454929	3.323492724	3.319714164	2.447563982	2.5605912	1.68380466	2.704061856	2.348220449
ABI1	2.003232194	0.958515397	1.439752317	1.807526656	1.20605723	2.113657947	1.427782993	1.471099709	1.828544794	2.060893065	2.499799442	NA	NA	2.087716093	1.577164403	1.069339723	2.155150504	2.117293543	NA	0.948153488	NA	1.94122437	NA	3.047077102	NA	NA	1.921607468	1.995187444	1.197493488	1.069339723	1.132624533	1.944052374	2.38201757	0.944680441	1.069339723	1.632475377	1.701859438	1.958764425	1.694113773	2.379965396	2.343736247	2.372168225	0.995795398	2.121044453	1.021779779	1.755771627	2.725512992	1.648662678	2.163721242	1.153178859	2.117293543	2.492241395	2.119507621	1.562459261	NA	2.007137459	NA	1.209369794	NA	2.085857729	2.162277551	1.944052374	2.313405801	2.133898917	NA	1.08219678	NA	0.944680441	NA	1.8367345	NA	1.094952306	1.581929574	2.346844789	2.13563082	0.965376194	NA	1.839437547	1.592478681	1.468320592
ABLIM1	NA	1.935985487	1.051310237	1.660824	NA	2.486670921	NA	1.614882674	1.203718685	2.623801999	1.193390446	NA	1.060735606	2.021655401	1.431128135	1.28509679	1.961941672	NA	1.62140468	NA	NA	2.940999021	NA	1.081403991	NA	NA	2.625816419	NA	NA	2.043028845	2.673596516	2.124439648	1.498093259	1.467592378	1.900130607	1.419129489	1.866377111	1.517155838	2.55899769	1.039850709	2.335247401	1.681126246	NA	2.004617318	NA	NA	2.491941952	1.03600924	2.553088196	1.046193214	1.388939242	1.04249806	NA	NA	1.91464261	2.7241396	2.349591596	1.919475044	1.086251894	2.041805175	2.15165836	0.970510489	1.045921599	1.643665135	NA	3.324984445	NA	1.407409859	1.85560427	1.668667693	NA	0.993617121	NA	2.139438464	1.511736342	2.964750327	NA	NA	NA	1.051310237
ABR	1.500865192	NA	1.941551694	2.230769852	NA	2.483954654	1.005775507	1.014807164	1.242041757	2.624571633	1.011126424	NA	NA	1.737307106	1.465583516	2.557337516	1.98333042	NA	2.107968531	1.465330848	1.107309347	1.416339035	1.064112648	1.037547781	1.805022654	2.752870539	1.067869152	NA	2.362432214	2.062080992	2.672707843	2.683405964	1.875590069	2.369271395	NA	2.03937151	NA	NA	1.449735837	1.859236508	0.991707021	1.709989867	NA	1.983978353	1.077835061	2.062080992	2.692323317	1.404342279	0.997183016	2.315439311	1.424211655	1.082622388	2.448878169	1.898733598	1.12873818	2.198644956	1.022659317	1.942058993	1.125977738	2.27140367	2.356843508	1.793971031	2.525587057	1.007992245	1.805223148	1.022659317	NA	2.029089273	1.879945707	1.045445585	1.235472324	NA	2.6296152	1.037891046	2.821588801	2.341967826	1.23537752	1.014807164	1.479278926	1.951627659
